leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RL,2.62,2.64,0.02,8.029889898551266,286.82991248816427,5.7365982497632855,0.9724822438719649,0.9724822438719649
RR,2.92,3.1,0.18,10.34087380137692,804.610294437013,101.7365325502596,0.4253060759070295,0.6029818571570293
FL,3.2,3.24,0.04,16.078599276742786,208.19282414422827,7.371684490583769,0.7691795314314738,0.8024791468146222
RR,3.24,3.28,0.04,9.516648716912242,207.40510201884075,5.276019007123287,0.8309787620070352,0.8546783770087139
FL,3.3200000000000003,3.34,0.02,3.650813744275133,186.75270797383524,3.735054159476705,0.9107459605696575,0.9107459605696575
RR,3.36,3.42,0.06,9.834464216602532,348.3565035867828,11.77542996724342,0.9495139301779643,0.9946819032194987
RL,3.64,3.66,0.02,3.028040508933147,238.85616103298224,4.777123220659645,0.3167999304297344,0.3167999304297344
FR,3.9,3.92,0.02,6.343669044820514,245.50524216994623,4.9101048433989245,0.5694218100073716,0.5694218100073716
FR,3.96,4.0,0.04,13.698586280029188,373.84518138857476,13.472898734147712,0.6622554172041795,0.6963999546530626
FR,4.0200000000000005,4.1,0.08,9.125159570504538,908.984902152454,40.51851862873058,0.7502890289786242,0.7978491962912462
RL,4.04,4.06,0.02,4.964607698813541,502.14964755229386,10.042992951045877,0.7700335658553026,0.7700335658553026
RL,4.12,4.14,0.02,11.205583959254346,247.59787270614478,4.951957454122896,0.8251913834574602,0.8251913834574602
FR,4.14,4.16,0.02,4.671617600653764,115.65266935902574,2.313053387180515,0.8412624765398882,0.8412624765398882
RL,4.18,4.3,0.12,10.335020968801246,43.06318928917491,4.476902194897167,0.8782046617033861,0.998560136652269
FR,4.2,4.26,0.06,4.1432259408410586,38.13919899577061,2.1045054792692897,0.8990757549765489,0.9456179440977952
RR,4.5,4.52,0.02,4.020390994530924,140.7778419996452,2.815556839992904,0.3107789529326339,0.3107789529326339
FL,4.86,4.88,0.02,5.916232772928824,317.8337833162299,6.356675666324598,0.6357539487841506,0.6357539487841506
FL,4.94,4.96,0.02,15.333756855888282,218.38711594209556,4.367742318841912,0.7676680184367077,0.7676680184367077
RR,4.98,5.0,0.02,11.763480846149344,181.52993875533505,3.630598775106701,0.8276875496867078,0.8276875496867078
FL,5.04,5.06,0.02,6.364826603046546,143.7243914214674,2.874487828429348,0.915080127811708,0.915080127811708
RR,5.04,5.06,0.02,9.851040204741123,150.51128984887066,3.010225796977413,0.915080127811708,0.915080127811708
FR,5.3,5.32,0.02,2.413982978228556,207.75446213287137,4.155089242657428,0.3177813364031692,0.3177813364031692
RL,5.3,5.32,0.02,4.06535622262394,117.8598367892568,2.357196735785136,0.3177813364031692,0.3177813364031692
RL,5.34,5.4,0.06,4.720289959635206,578.8789277529486,31.37116002897244,0.34244306335476815,0.3550016571047683
FR,5.7,5.72,0.02,7.443741689953583,163.246042022001,3.2649208404400203,0.5802703929903885,0.5802703929903885
FR,5.78,5.84,0.06,13.894063360690566,879.9213787941163,37.116272565382666,0.6981875921252152,0.7475461936953447
FR,5.86,5.92,0.06,7.722665388154645,347.71617288078914,18.07458030886867,0.7783360410693072,0.8049571348193074
RL,5.86,5.88,0.02,8.543506656100918,114.24511897913628,2.2849023795827255,0.7783360410693072,0.7783360410693072
RL,5.9,5.92,0.02,5.985137926489573,149.48419103618113,2.9896838207236227,0.8049571348193074,0.8049571348193074
FR,5.94,6.04,0.1,3.728799663406819,211.87656435608505,7.771372959053582,0.8363782275679494,0.9184204126360798
RL,5.94,5.96,0.02,11.80590816826951,115.37413735782349,2.30748274715647,0.8363782275679494,0.8363782275679494
RL,6.0,6.1,0.1,10.834342953914557,41.95628703235528,3.7031485801057116,0.8955098653796101,0.9967520595553303
RR,6.28,6.3,0.02,3.5331782176752347,112.0632478417013,2.241264956834026,0.29785759458569516,0.29785759458569516
RR,6.32,6.4,0.08,4.072204194062115,540.2568003920109,41.08097320782727,0.3271154070856952,0.3591368914606954
RR,6.7,6.72,0.02,4.509180296791668,565.3493663634482,11.306987327268965,0.6755181444647693,0.6755181444647693
FL,6.78,6.8,0.02,14.890064823255555,224.21545124038528,4.484309024807706,0.8050431550505543,0.8050431550505543
RR,6.78,6.98,0.2,11.670162897469707,166.83888254821682,16.16918148803452,0.8050431550505543,0.992559950447359
FL,6.86,6.88,0.02,3.532696961140868,74.39681900817254,1.4879363801634509,0.9141978419783499,0.9141978419783499
FL,6.96,6.98,0.02,5.99090080587748,24.799524757457114,0.4959904951491423,0.992559950447359,0.992559950447359
RL,7.2,7.22,0.02,2.8480313002854523,140.13532459770695,2.8027064919541393,0.28221426138905503,0.28221426138905503
RL,7.24,7.26,0.02,3.3992813082721085,319.70172125548635,6.394034425109727,0.32201894888905525,0.32201894888905525
FR,7.5,7.52,0.02,11.397355648666988,192.89490345429667,3.8578980690859335,0.6689533556464098,0.6689533556464098
RL,7.58,7.6,0.02,7.028924738457142,312.0542660194859,6.241085320389718,0.7914252532484913,0.7914252532484913
FR,7.6000000000000005,7.68,0.08,8.600842385543313,377.6002657952111,15.994503933551648,0.8126799405577565,0.8476440013411426
RL,7.62,7.64,0.02,8.127949857779079,156.38844591538862,3.1277689183077726,0.8291346276762868,0.8291346276762868
RL,7.66,7.7,0.04,12.097256727680653,290.53647395389993,7.184168166204884,0.8476440013411426,0.8530443919661426
FR,7.72,7.74,0.02,3.95525907454571,44.880010668895764,0.8976002133779153,0.8654451728823565,0.8654451728823565
RL,7.8,7.9,0.1,6.654559377254105,32.29289777936006,2.751280905808269,0.9094467307093523,0.9790482831957721
FR,7.82,7.84,0.02,6.254435333742887,20.290859256736518,0.40581718513473036,0.9244471193316364,0.9244471193316364
FL,8.1,8.14,0.04,4.181084080451542,123.53100118367385,4.3407910006143435,0.2714455486300371,0.295742423630037
FL,8.16,8.2,0.04,4.447605945929914,604.3634284187362,20.09306583655902,0.3299361730578325,0.34368617305783244
FL,8.28,8.5,0.22,13.673528617034977,629.4355638198205,70.29296922468323,0.41723617205647434,0.6722354031565567
FL,8.56,8.62,0.06,7.7740045431107685,441.29199908899074,16.99086715020902,0.7652322770121476,0.7849580574992081
RR,8.56,8.58,0.02,9.563665626889387,148.69313617745277,2.9738627235490553,0.7652322770121476,0.7652322770121476
RR,8.64,8.66,0.02,13.812444187955514,177.77634631474893,3.555526926294979,0.8035111821654219,0.8035111821654219
FL,8.66,8.68,0.02,2.354177304569284,237.23571961263218,4.744714392252644,0.8151877439978499,0.8151877439978499
RR,8.72,8.86,0.14,10.518277735991017,39.24612922984896,4.690554205034009,0.8598174274924177,0.9922767926218885
RL,9.040000000000001,9.06,0.02,3.509022750451911,154.32511755175972,3.0865023510351945,0.33368932256726214,0.33368932256726214
RL,9.08,9.14,0.06,7.38345612416788,706.2610295453871,40.29576489306844,0.3896893216135877,0.4264893198969739
FR,9.34,9.58,0.24,16.20894416594637,295.76118451555686,23.906640926472004,0.5265623603227512,0.7660674355390447
RL,9.58,9.64,0.06,13.687685386519208,199.08084950157797,5.9613537654404265,0.7811357949140447,0.8112725136640448
RL,9.76,9.8,0.04,8.620173866646963,72.91308715986152,2.8396172701481426,0.9615510270955938,0.9894193885686773
